contract	open	high	low	close	change	chgRate	average	volume	turnover
2016-11-18	Au(T+D)	273.70	273.90	269.81	270.48	-2.59	-0.95%	271.45	93,194.00	25,297,512,000.00
2016-11-17	Au(T+D)	272.95	273.99	272.60	273.08	-0.38	-0.14%	273.38	51,306.00	14,026,035,000.00
2016-11-16	Au(T+D)	272.31	274.29	271.68	273.48	0.48	0.18%	273.19	68,218.00	18,636,476,000.00
2016-11-15	Au(T+D)	271.70	273.05	269.63	273.00	1.56	0.57%	271.46	92,240.00	25,039,470,000.00
2016-11-14	Au(T+D)	277.30	278.30	267.43	271.44	-6.63	-2.38%	271.54	208,270.00	56,553,636,000.00
2016-11-11	Au(T+D)	281.81	282.82	275.80	278.09	-4.38	-1.55%	279.27	171,462.00	47,884,192,000.00
2016-11-10	Au(T+D)	285.45	286.46	281.40	282.47	-5.52	-1.92%	283.69	167,770.00	47,594,672,000.00
2016-11-09	Au(T+D)	280.50	289.79	278.87	287.96	7.31	2.60%	284.55	293,944.00	83,641,760,000.00
2016-11-08	Au(T+D)	281.24	281.70	279.60	280.68	-0.71	-0.25%	280.73	61,536.00	17,275,002,000.00
2016-11-07	Au(T+D)	283.28	284.38	281.33	281.40	-1.21	-0.43%	282.82	122,666.00	34,692,400,000.00
2016-11-04	Au(T+D)	281.25	300.39	280.50	282.61	-0.91	-0.32%	282.87	97,340.00	27,534,566,000.00
2016-11-03	Au(T+D)	282.63	284.49	282.41	283.54	1.38	0.49%	283.39	99,576.00	28,218,844,000.00
2016-11-02	Au(T+D)	281.30	282.48	280.63	282.17	2.40	0.86%	281.40	71,174.00	20,028,364,000.00
2016-11-01	Au(T+D)	278.40	279.95	278.30	279.78	0.97	0.35%	279.17	49,412.00	13,794,349,000.00
2016-10-31	Au(T+D)	277.50	280.50	276.50	278.82	1.44	0.52%	278.32	82,830.00	23,053,246,000.00
2016-10-28	Au(T+D)	277.60	278.14	277.15	277.39	-0.08	-0.03%	277.70	51,648.00	14,342,650,000.00
2016-10-27	Au(T+D)	278.00	278.17	276.65	277.47	-1.03	-0.37%	277.35	48,226.00	13,375,481,000.00
2016-10-26	Au(T+D)	277.14	278.75	277.00	278.50	1.55	0.56%	277.97	61,946.00	17,219,130,000.00
2016-10-25	Au(T+D)	275.96	277.80	275.81	276.95	0.57	0.21%	276.76	64,146.00	17,753,048,000.00
2016-10-24	Au(T+D)	276.00	276.42	275.71	276.39	1.05	0.38%	276.02	56,996.00	15,732,035,000.00
2016-10-21	Au(T+D)	276.68	276.96	274.97	275.33	-0.80	-0.29%	275.62	69,202.00	19,073,454,000.00
2016-10-20	Au(T+D)	275.90	276.83	275.86	276.13	1.68	0.61%	276.33	58,394.00	16,136,013,000.00
2016-10-19	Au(T+D)	274.05	274.88	273.60	274.45	-0.04	-0.01%	274.35	49,176.00	13,491,436,000.00
2016-10-18	Au(T+D)	272.80	274.60	272.55	274.50	1.69	0.62%	273.72	49,288.00	13,491,111,000.00
2016-10-17	Au(T+D)	272.40	273.39	271.03	272.80	0.11	0.04%	272.33	57,542.00	15,670,412,000.00
2016-10-14	Au(T+D)	273.42	273.99	272.58	272.69	-0.59	-0.22%	273.15	50,880.00	13,897,872,000.00
2016-10-13	Au(T+D)	272.35	273.87	271.20	273.30	0.71	0.26%	272.74	66,148.00	18,041,204,000.00
2016-10-12	Au(T+D)	272.50	273.20	272.22	272.59	-0.49	-0.18%	272.58	44,446.00	12,115,090,000.00
2016-10-11	Au(T+D)	272.32	273.30	272.32	273.09	0.17	0.06%	272.76	52,838.00	14,412,093,000.00
2016-10-10	Au(T+D)	272.50	273.35	271.77	272.93	-11.86	-4.16%	272.69	55,554.00	15,149,020,000.00
2016-09-30	Au(T+D)	283.92	284.94	283.20	284.80	0.42	0.15%	284.21	48,292.00	13,725,069,000.00
2016-09-29	Au(T+D)	285.02	285.41	283.61	284.40	-0.05	-0.02%	284.55	43,856.00	12,479,224,000.00
2016-09-28	Au(T+D)	286.90	287.10	284.38	284.47	-2.78	-0.97%	285.20	64,190.00	18,306,988,000.00
2016-09-27	Au(T+D)	287.22	288.00	286.49	287.25	0.24	0.08%	287.12	60,256.00	17,300,702,000.00
2016-09-26	Au(T+D)	287.41	287.68	286.33	287.01	0.18	0.06%	287.05	42,368.00	12,161,734,000.00
2016-09-23	Au(T+D)	286.71	288.26	286.50	286.83	0.24	0.08%	287.22	72,682.00	20,875,724,000.00
2016-09-22	Au(T+D)	284.70	286.75	284.01	286.60	2.47	0.87%	285.99	83,612.00	23,912,196,000.00
2016-09-21	Au(T+D)	283.33	284.25	282.47	284.15	0.76	0.27%	283.44	48,560.00	13,763,847,000.00
2016-09-20	Au(T+D)	282.87	283.50	282.77	283.39	-0.10	-0.04%	283.26	35,760.00	10,129,378,000.00
2016-09-19	Au(T+D)	281.70	283.54	281.70	283.45	-1.13	-0.40%	282.85	29,216.00	8,263,746,000.00
2016-09-14	Au(T+D)	285.37	285.80	283.56	284.58	-1.22	-0.43%	284.44	58,278.00	16,576,594,000.00
2016-09-13	Au(T+D)	286.12	286.69	284.69	285.80	-0.38	-0.13%	285.84	61,054.00	17,451,676,000.00
2016-09-12	Au(T+D)	287.33	287.99	285.37	286.18	-1.38	-0.48%	286.43	55,952.00	16,026,331,000.00
2016-09-09	Au(T+D)	288.65	289.25	287.30	287.58	-1.50	-0.52%	288.02	52,014.00	14,981,072,000.00
2016-09-08	Au(T+D)	289.25	289.55	287.50	289.09	-0.20	-0.07%	288.87	47,666.00	13,769,277,000.00
2016-09-07	Au(T+D)	286.66	290.30	286.21	289.28	3.43	1.20%	288.49	92,030.00	26,549,734,000.00
2016-09-06	Au(T+D)	285.47	285.90	285.23	285.87	0.71	0.25%	285.51	32,848.00	9,378,433,000.00
2016-09-05	Au(T+D)	282.63	286.00	281.20	285.16	2.81	1.00%	284.59	111,340.00	31,686,250,000.00
2016-09-02	Au(T+D)	281.53	282.67	280.30	282.33	0.93	0.33%	281.96	74,984.00	21,142,488,000.00
2016-09-01	Au(T+D)	282.80	282.81	281.20	281.40	-1.23	-0.44%	282.03	72,962.00	20,577,472,000.00
2016-08-31	Au(T+D)	284.03	284.27	282.40	282.62	-1.25	-0.44%	283.13	54,838.00	15,526,283,000.00
2016-08-30	Au(T+D)	283.57	284.94	283.41	283.90	0.45	0.16%	284.30	44,074.00	12,530,238,000.00
2016-08-29	Au(T+D)	285.30	287.90	283.00	283.45	-1.16	-0.41%	284.83	99,842.00	28,437,996,000.00
2016-08-26	Au(T+D)	283.88	284.65	282.81	284.61	-0.08	-0.03%	283.81	47,184.00	13,391,291,000.00
2016-08-25	Au(T+D)	286.63	287.00	284.01	284.69	-1.95	-0.68%	284.88	65,900.00	18,773,592,000.00
2016-08-24	Au(T+D)	286.96	287.56	286.52	286.65	-0.24	-0.08%	286.88	38,956.00	11,175,697,000.00
2016-08-23	Au(T+D)	286.48	287.36	286.08	286.88	0.67	0.23%	286.62	36,756.00	10,535,005,000.00
2016-08-22	Au(T+D)	287.70	288.55	285.85	286.26	-2.06	-0.71%	286.85	72,822.00	20,888,992,000.00
2016-08-19	Au(T+D)	288.45	288.95	287.23	288.49	0.06	0.02%	288.11	45,602.00	13,138,392,000.00
2016-08-18	Au(T+D)	286.92	289.18	285.57	288.40	1.72	0.60%	288.23	54,092.00	15,590,938,000.00
2016-08-17	Au(T+D)	288.84	289.30	286.40	286.68	-1.30	-0.45%	287.31	62,694.00	18,012,612,000.00
2016-08-16	Au(T+D)	286.90	288.40	285.88	287.98	0.87	0.30%	287.23	42,580.00	12,230,254,000.00
2016-08-15	Au(T+D)	286.98	289.65	285.02	287.11	0.42	0.15%	287.53	64,334.00	18,497,954,000.00
2016-08-12	Au(T+D)	287.60	289.20	286.00	286.69	-0.86	-0.30%	287.38	54,032.00	15,527,716,000.00
2016-08-11	Au(T+D)	289.20	289.90	286.80	287.56	-1.73	-0.60%	287.92	57,620.00	16,589,951,000.00
2016-08-10	Au(T+D)	285.65	290.05	285.43	289.30	3.66	1.28%	288.03	58,740.00	16,918,882,000.00
2016-08-09	Au(T+D)	286.00	286.80	285.50	285.65	-0.34	-0.12%	286.03	36,960.00	10,571,669,000.00
2016-08-08	Au(T+D)	291.20	291.52	285.56	286.00	-5.81	-1.99%	287.46	98,958.00	28,446,466,000.00
2016-08-05	Au(T+D)	290.10	291.98	290.10	291.83	3.23	1.12%	291.11	58,136.00	16,923,970,000.00
2016-08-04	Au(T+D)	291.25	291.80	288.10	288.60	-2.47	-0.85%	289.58	62,028.00	17,962,068,000.00
2016-08-03	Au(T+D)	290.43	291.45	290.15	291.08	0.84	0.29%	290.93	42,702.00	12,423,293,000.00
2016-08-02	Au(T+D)	288.05	290.40	287.92	290.24	2.15	0.75%	288.87	55,226.00	15,953,134,000.00
2016-08-01	Au(T+D)	285.81	288.79	285.75	288.01	2.27	0.79%	287.82	75,808.00	21,819,060,000.00
2016-07-29	Au(T+D)	287.90	288.35	285.55	285.75	-1.87	-0.65%	286.66	58,226.00	16,691,065,000.00
2016-07-28	Au(T+D)	283.65	287.99	283.28	287.65	4.25	1.50%	286.27	71,824.00	20,561,056,000.00
2016-07-27	Au(T+D)	283.61	284.15	282.75	283.38	-0.35	-0.12%	283.31	35,076.00	9,937,381,000.00
2016-07-26	Au(T+D)	282.72	284.60	282.20	283.73	0.60	0.21%	283.36	44,086.00	12,492,208,000.00
2016-07-25	Au(T+D)	284.31	284.70	282.55	283.15	-1.50	-0.53%	283.54	40,284.00	11,422,126,000.00
2016-07-22	Au(T+D)	283.10	286.20	282.61	284.65	1.59	0.56%	284.46	72,264.00	20,556,216,000.00
2016-07-21	Au(T+D)	284.05	284.18	282.00	283.09	-2.62	-0.92%	282.85	69,916.00	19,775,742,000.00
2016-07-20	Au(T+D)	287.44	287.70	285.31	285.71	-1.08	-0.38%	286.79	64,330.00	18,449,202,000.00
2016-07-19	Au(T+D)	286.01	288.29	285.90	286.80	0.63	0.22%	286.89	46,596.00	13,367,927,000.00
2016-07-18	Au(T+D)	286.98	287.64	285.13	286.15	-0.55	-0.19%	286.32	69,192.00	19,811,054,000.00
2016-07-15	Au(T+D)	285.60	287.20	284.35	286.70	-0.51	-0.18%	285.94	66,172.00	18,921,222,000.00
2016-07-14	Au(T+D)	288.95	289.90	286.74	287.20	-1.70	-0.59%	288.44	60,606.00	17,481,194,000.00
2016-07-13	Au(T+D)	290.50	290.60	286.00	288.91	-3.18	-1.09%	288.04	100,294.00	28,888,684,000.00
2016-07-12	Au(T+D)	292.60	293.10	291.17	292.10	-0.90	-0.31%	292.01	47,674.00	13,921,285,000.00
2016-07-11	Au(T+D)	291.50	295.15	286.89	293.10	1.91	0.66%	291.99	164,302.00	47,974,540,000.00
2016-07-08	Au(T+D)	293.68	293.86	290.08	291.13	-2.78	-0.95%	291.65	95,666.00	27,900,988,000.00
2016-07-07	Au(T+D)	295.49	296.00	293.34	293.91	0.03	0.01%	294.47	54,830.00	16,145,790,000.00
2016-07-06	Au(T+D)	289.38	295.50	288.00	293.90	5.45	1.89%	292.50	109,656.00	32,074,380,000.00
2016-07-05	Au(T+D)	290.00	290.50	286.60	288.45	-0.79	-0.27%	288.80	68,100.00	19,667,280,000.00
2016-07-04	Au(T+D)	285.80	291.60	285.56	289.24	3.37	1.18%	288.83	153,986.00	44,475,776,000.00
2016-07-02	Au(T+D)	285.80	287.48	285.56	286.71	0.84	0.29%	286.57	36,748.00	10,530,875,000.00
2016-07-01	Au(T+D)	282.00	286.48	281.54	285.87	4.15	1.47%	284.23	109,722.00	31,186,286,000.00
2016-06-30	Au(T+D)	282.19	283.62	281.10	281.72	-1.09	-0.39%	282.04	69,688.00	19,654,804,000.00
2016-06-29	Au(T+D)	280.80	283.16	280.55	282.83	1.40	0.50%	281.98	77,466.00	21,843,864,000.00
2016-06-28	Au(T+D)	283.99	284.30	281.36	281.43	-1.14	-0.40%	282.60	82,588.00	23,339,370,000.00
2016-06-27	Au(T+D)	281.60	283.35	278.66	282.60	2.00	0.71%	281.73	124,462.00	35,064,680,000.00
2016-06-24	Au(T+D)	267.79	283.97	266.80	280.60	11.94	4.44%	275.28	286,072.00	78,749,896,000.00
2016-06-23	Au(T+D)	268.65	269.26	267.50	268.67	0.50	0.19%	268.19	66,546.00	17,846,972,000.00
2016-06-22	Au(T+D)	269.50	270.11	267.26	268.19	-3.31	-1.22%	268.84	85,666.00	23,030,448,000.00
2016-06-21	Au(T+D)	271.24	273.20	271.06	271.52	-0.50	-0.18%	272.03	58,720.00	15,973,602,000.00
2016-06-20	Au(T+D)	273.17	274.65	271.14	272.00	-0.21	-0.08%	272.80	100,818.00	27,503,150,000.00
2016-06-17	Au(T+D)	276.62	278.80	270.39	272.20	-5.11	-1.84%	274.28	139,044.00	38,136,988,000.00
2016-06-16	Au(T+D)	271.60	278.00	271.05	277.30	4.62	1.69%	274.82	133,460.00	36,677,480,000.00
2016-06-15	Au(T+D)	272.10	273.49	271.80	272.68	1.34	0.49%	272.65	69,702.00	19,004,250,000.00
2016-06-14	Au(T+D)	272.50	273.00	270.80	271.34	-0.28	-0.10%	271.74	62,456.00	16,971,792,000.00
2016-06-13	Au(T+D)	270.10	272.32	269.70	271.68	6.59	2.49%	270.84	78,430.00	21,241,980,000.00
2016-06-08	Au(T+D)	262.30	265.11	261.57	265.10	2.13	0.81%	263.49	60,728.00	16,001,220,000.00
2016-06-07	Au(T+D)	262.75	264.48	262.20	262.97	0.67	0.26%	263.09	45,378.00	11,938,498,000.00
2016-06-06	Au(T+D)	257.00	262.88	257.00	262.34	5.04	1.96%	261.51	123,406.00	32,271,904,000.00
2016-06-03	Au(T+D)	257.90	257.92	256.60	257.30	-0.35	-0.14%	257.04	54,268.00	13,949,047,000.00
2016-06-02	Au(T+D)	258.53	258.67	256.07	257.76	-0.37	-0.14%	257.35	62,624.00	16,116,287,000.00
2016-06-01	Au(T+D)	256.96	258.84	256.35	258.10	1.11	0.43%	257.85	61,082.00	15,749,994,000.00
2016-05-31	Au(T+D)	256.22	257.78	255.43	256.96	1.87	0.73%	256.81	57,204.00	14,690,559,000.00
2016-05-30	Au(T+D)	257.70	258.29	254.10	255.10	-2.85	-1.10%	255.66	89,598.00	22,906,626,000.00
2016-05-27	Au(T+D)	259.50	260.10	256.10	257.93	-1.70	-0.65%	257.99	99,814.00	25,751,012,000.00
2016-05-26	Au(T+D)	258.28	260.45	257.07	259.60	1.36	0.53%	258.88	71,320.00	18,463,322,000.00
2016-05-25	Au(T+D)	262.00	262.07	258.08	258.30	-3.82	-1.46%	260.05	89,586.00	23,296,838,000.00
2016-05-24	Au(T+D)	263.35	263.80	262.06	262.13	-1.59	-0.60%	262.89	62,428.00	16,411,698,000.00
2016-05-23	Au(T+D)	264.45	265.48	263.03	263.73	-0.50	-0.19%	264.12	68,326.00	18,046,262,000.00
2016-05-20	Au(T+D)	264.00	264.65	262.30	264.25	0.18	0.07%	263.55	78,150.00	20,596,432,000.00
2016-05-19	Au(T+D)	268.40	268.65	263.75	264.07	-3.63	-1.36%	265.91	113,954.00	30,301,508,000.00
2016-05-18	Au(T+D)	267.55	269.00	266.60	267.70	0.18	0.07%	268.14	74,900.00	20,083,688,000.00
2016-05-17	Au(T+D)	269.28	270.49	267.10	267.50	-1.71	-0.64%	268.50	81,630.00	21,917,656,000.00
2016-05-16	Au(T+D)	267.75	269.80	265.88	269.22	1.93	0.72%	267.79	100,108.00	26,807,922,000.00
2016-05-13	Au(T+D)	265.31	268.42	265.01	267.29	1.00	0.38%	266.73	91,678.00	24,453,274,000.00
2016-05-12	Au(T+D)	267.52	267.80	265.80	266.30	-0.40	-0.15%	266.85	64,288.00	17,155,254,000.00
2016-05-11	Au(T+D)	265.53	267.19	263.60	266.70	0.72	0.27%	265.74	66,842.00	17,762,592,000.00
2016-05-10	Au(T+D)	266.80	267.39	264.70	265.97	-1.93	-0.72%	265.72	73,710.00	19,586,222,000.00
2016-05-09	Au(T+D)	268.00	270.70	267.51	267.90	-0.17	-0.06%	269.14	131,470.00	35,383,836,000.00
2016-05-06	Au(T+D)	268.20	269.20	265.76	268.07	0.35	0.13%	267.75	76,030.00	20,357,032,000.00
2016-05-05	Au(T+D)	267.69	269.90	266.77	267.68	-0.50	-0.19%	268.40	69,488.00	18,650,578,000.00
2016-05-04	Au(T+D)	269.79	270.96	267.51	268.19	-2.18	-0.81%	268.71	77,106.00	20,719,152,000.00
2016-05-03	Au(T+D)	268.99	270.80	268.53	270.37	4.33	1.63%	269.77	70,746.00	19,085,148,000.00
2016-04-29	Au(T+D)	262.01	266.95	261.10	266.05	4.30	1.64%	264.13	112,364.00	29,678,704,000.00
2016-04-28	Au(T+D)	260.79	262.10	259.00	261.75	1.17	0.45%	260.75	92,198.00	24,040,628,000.00
2016-04-27	Au(T+D)	257.50	260.80	256.02	260.58	2.37	0.92%	259.68	62,544.00	16,241,425,000.00
2016-04-26	Au(T+D)	258.39	259.45	257.80	258.20	-0.27	-0.10%	258.68	43,406.00	11,228,264,000.00
2016-04-25	Au(T+D)	260.40	260.70	256.73	258.45	-1.80	-0.69%	258.76	68,850.00	17,815,626,000.00
2016-04-22	Au(T+D)	262.99	264.96	259.50	260.25	-2.40	-0.91%	261.89	94,676.00	24,794,700,000.00
2016-04-21	Au(T+D)	259.96	263.00	259.60	262.65	2.80	1.08%	261.33	87,188.00	22,784,754,000.00
2016-04-20	Au(T+D)	259.35	261.76	258.50	259.85	0.44	0.17%	260.42	73,764.00	19,209,622,000.00
2016-04-19	Au(T+D)	258.00	259.60	256.11	259.41	1.74	0.68%	257.75	73,958.00	19,062,674,000.00
2016-04-18	Au(T+D)	256.69	258.20	255.93	257.70	0.84	0.33%	257.22	50,980.00	13,113,076,000.00
2016-04-15	Au(T+D)	258.15	258.70	255.93	256.89	-0.55	-0.21%	256.95	72,188.00	18,548,708,000.00
2016-04-14	Au(T+D)	258.82	260.44	256.70	257.44	-2.37	-0.91%	258.39	67,734.00	17,501,790,000.00
2016-04-13	Au(T+D)	262.29	262.30	259.63	259.83	-1.56	-0.60%	260.83	61,294.00	15,987,253,000.00
2016-04-12	Au(T+D)	259.77	261.64	259.71	261.40	0.65	0.25%	260.78	59,638.00	15,552,338,000.00
2016-04-11	Au(T+D)	257.28	260.84	256.90	260.76	3.63	1.41%	259.15	67,124.00	17,395,116,000.00
2016-04-08	Au(T+D)	256.70	258.68	256.65	257.13	1.53	0.60%	257.57	76,330.00	19,660,318,000.00
2016-04-07	Au(T+D)	255.00	256.40	254.62	255.59	-0.21	-0.08%	255.47	61,028.00	15,590,823,000.00
2016-04-06	Au(T+D)	256.35	257.26	255.55	255.80	0.55	0.22%	256.34	48,220.00	12,360,666,000.00
2016-04-05	Au(T+D)	254.54	255.75	254.00	255.25	-1.74	-0.68%	255.21	42,808.00	10,925,030,000.00
2016-04-01	Au(T+D)	256.87	257.01	255.80	256.99	0.89	0.35%	256.43	57,236.00	14,677,027,000.00
2016-03-31	Au(T+D)	257.90	257.90	255.07	256.10	-2.43	-0.94%	256.32	68,620.00	17,588,678,000.00
2016-03-30	Au(T+D)	255.23	259.36	255.03	258.53	3.84	1.51%	257.61	80,906.00	20,842,194,000.00
2016-03-29	Au(T+D)	255.35	256.00	254.60	254.70	-0.50	-0.20%	255.39	46,782.00	11,947,655,000.00
2016-03-28	Au(T+D)	255.70	256.19	253.60	255.23	-0.59	-0.23%	254.53	40,560.00	10,323,737,000.00
2016-03-25	Au(T+D)	255.45	256.60	255.32	255.83	0.95	0.37%	255.90	39,490.00	10,105,491,000.00
2016-03-24	Au(T+D)	257.71	257.71	254.30	254.88	-3.15	-1.22%	255.56	100,506.00	25,685,314,000.00
2016-03-23	Au(T+D)	261.01	262.45	257.84	258.02	-3.88	-1.48%	259.98	85,536.00	22,237,650,000.00
2016-03-22	Au(T+D)	259.88	261.96	259.01	261.94	2.54	0.98%	260.15	55,944.00	14,553,775,000.00
2016-03-21	Au(T+D)	260.70	262.00	258.88	259.42	-3.18	-1.21%	260.45	67,830.00	17,666,324,000.00
2016-03-18	Au(T+D)	264.20	264.97	262.40	262.60	-0.95	-0.36%	263.31	70,712.00	18,619,176,000.00
2016-03-17	Au(T+D)	258.50	263.88	257.40	263.55	4.62	1.78%	261.23	108,954.00	28,462,054,000.00
2016-03-16	Au(T+D)	258.12	259.20	257.06	258.94	1.64	0.64%	258.21	67,290.00	17,374,884,000.00
2016-03-15	Au(T+D)	262.05	263.09	256.60	257.30	-4.76	-1.82%	258.89	101,680.00	26,323,936,000.00
2016-03-14	Au(T+D)	264.70	265.30	261.68	262.00	-3.10	-1.17%	263.10	74,316.00	19,552,540,000.00
2016-03-11	Au(T+D)	262.01	267.89	259.40	265.10	3.82	1.46%	264.37	147,398.00	38,967,608,000.00
2016-03-10	Au(T+D)	262.11	263.58	260.45	261.29	-2.38	-0.90%	261.96	100,024.00	26,202,188,000.00
2016-03-09	Au(T+D)	267.08	267.08	262.19	263.70	-2.34	-0.88%	264.39	88,204.00	23,320,256,000.00
2016-03-08	Au(T+D)	266.50	266.65	264.00	266.05	1.25	0.47%	265.81	92,436.00	24,570,412,000.00
2016-03-07	Au(T+D)	265.68	267.80	262.70	264.81	0.21	0.08%	265.09	173,936.00	46,108,692,000.00
2016-03-04	Au(T+D)	261.61	264.79	260.60	264.60	3.51	1.34%	263.21	94,788.00	24,949,148,000.00
2016-03-03	Au(T+D)	259.44	261.36	258.57	261.05	2.32	0.90%	260.34	76,114.00	19,815,442,000.00
2016-03-02	Au(T+D)	262.45	262.86	258.08	258.70	-2.50	-0.96%	259.88	99,146.00	25,766,062,000.00
2016-03-01	Au(T+D)	259.00	262.60	258.28	261.20	2.39	0.92%	260.94	91,594.00	23,900,538,000.00
2016-02-29	Au(T+D)	260.25	260.68	255.20	258.81	-1.61	-0.62%	258.26	109,382.00	28,248,996,000.00
2016-02-26	Au(T+D)	259.70	261.00	257.81	260.42	0.11	0.04%	259.76	94,878.00	24,645,510,000.00
2016-02-25	Au(T+D)	259.10	263.23	258.00	260.31	3.71	1.45%	260.21	140,934.00	36,672,296,000.00
2016-02-24	Au(T+D)	255.59	257.85	254.92	256.60	0.78	0.30%	256.74	72,256.00	18,551,004,000.00
2016-02-23	Au(T+D)	252.49	256.20	252.38	255.83	1.23	0.48%	254.44	81,728.00	20,794,872,000.00
2016-02-22	Au(T+D)	257.41	258.80	254.60	254.60	-2.00	-0.78%	256.65	83,800.00	21,507,186,000.00
2016-02-19	Au(T+D)	252.69	257.70	252.69	256.64	3.57	1.41%	255.72	84,160.00	21,521,396,000.00
2016-02-18	Au(T+D)	252.38	254.06	252.35	253.07	-0.63	-0.25%	253.29	55,550.00	14,070,259,000.00
2016-02-17	Au(T+D)	254.56	254.56	251.00	253.70	2.51	1.00%	253.07	79,506.00	20,120,584,000.00
2016-02-16	Au(T+D)	252.81	253.62	250.00	251.20	-2.22	-0.88%	251.57	67,936.00	17,090,660,000.00
2016-02-15	Au(T+D)	259.50	259.50	253.10	253.42	9.51	3.90%	255.37	85,194.00	21,755,992,000.00
2016-02-05	Au(T+D)	242.18	243.98	242.01	243.95	2.15	0.89%	243.46	55,550.00	13,524,203,000.00
2016-02-04	Au(T+D)	239.50	241.88	238.75	241.80	2.80	1.17%	240.55	74,366.00	17,888,742,000.00
2016-02-03	Au(T+D)	238.10	239.57	238.10	239.00	0.65	0.27%	239.03	45,416.00	10,855,786,000.00
2016-02-02	Au(T+D)	237.85	239.15	237.50	238.36	0.46	0.19%	238.45	49,232.00	11,739,370,000.00
