contract	open	high	low	close	change	chgRate	average	volume	turnover
2015-06-11	Au(T+D)	236.80	238.14	236.33	236.40	-0.23	-0.10%	237.30	27,682.00	6,568,938,500.00
2015-06-10	Au(T+D)	235.90	236.90	234.90	236.70	1.73	0.74%	235.71	35,616.00	8,395,048,000.00
2015-06-09	Au(T+D)	234.30	235.31	233.94	235.10	0.60	0.26%	234.83	24,218.00	5,687,113,000.00
2015-06-08	Au(T+D)	234.45	235.39	232.68	234.50	-0.40	-0.17%	234.16	42,034.00	9,842,682,000.00
2015-06-05	Au(T+D)	236.00	236.30	234.50	234.90	-1.00	-0.42%	235.15	32,028.00	7,531,384,000.00
2015-06-04	Au(T+D)	237.22	237.70	235.38	235.95	-1.24	-0.52%	236.31	24,428.00	5,772,580,500.00
2015-06-03	Au(T+D)	237.79	238.28	237.00	237.20	-0.01	-0.00%	237.64	32,564.00	7,738,509,000.00
2015-06-02	Au(T+D)	236.79	239.98	236.51	237.20	0.55	0.23%	237.91	30,236.00	7,193,447,000.00
2015-06-01	Au(T+D)	237.01	238.49	236.52	236.65	-0.85	-0.36%	237.37	19,212.00	4,560,352,500.00
2015-05-29	Au(T+D)	236.73	237.55	236.01	237.50	0.31	0.13%	237.02	25,612.00	6,070,556,500.00
2015-05-28	Au(T+D)	236.80	237.55	236.80	237.15	-0.31	-0.13%	237.21	25,632.00	6,080,167,000.00
2015-05-27	Au(T+D)	238.81	238.97	237.10	237.46	-1.57	-0.66%	237.65	36,856.00	8,758,828,000.00
2015-05-26	Au(T+D)	240.11	241.38	238.70	239.00	-1.50	-0.62%	240.02	20,290.00	4,870,006,000.00
2015-05-25	Au(T+D)	241.61	242.14	240.00	240.59	-1.00	-0.41%	240.55	24,374.00	5,863,166,000.00
2015-05-22	Au(T+D)	241.30	241.80	240.00	241.60	-0.04	-0.02%	240.80	29,314.00	7,058,811,500.00
2015-05-21	Au(T+D)	241.40	242.41	241.26	241.62	0.62	0.26%	241.77	25,412.00	6,143,859,500.00
2015-05-20	Au(T+D)	243.50	243.90	240.30	240.97	-2.14	-0.88%	241.57	42,802.00	10,339,679,000.00
2015-05-19	Au(T+D)	244.40	245.45	243.01	243.15	-1.99	-0.81%	244.13	33,694.00	8,225,716,500.00
2015-05-18	Au(T+D)	242.76	245.79	242.20	245.15	1.68	0.69%	244.21	49,858.00	12,175,823,000.00
2015-05-15	Au(T+D)	242.95	244.19	242.08	243.42	0.89	0.37%	243.16	43,194.00	10,503,053,000.00

